Fulltext Search;Volltextsuche
Fulltext search results for;Resultate für
Show filter;Filter anzeigen
Apply filter;Filter anwenden
Resource;Ressouce
Label;Bezeichner
Highlight;Treffer
Class;Klasse
Show results as JSON;Resultate als JSON anzeigen
Show query;Suchanfrage anzeigen
Hide results;Resultate als JSON ausblenden
Hide query;Suchanfrage ausblenden
Show filter;Filter anzeigen
Hide filter;Filter ausblenden
No results found;Keine Resultate gefunden
Press enter to trigger an advanced search;Enter drücken um eine erweiterte Suche zu starten
Showing results; Resultate
of;von
